directory_name,git_describe,git_current_tag,git_current_commit,github_url
viz.js@1.8.2,v1.8.2,v1.8.2,31bcba42368ebdb971a49153b53f8c8f6071dd23,https://github.com/mdaines/viz.js
flow-enums-runtime@0.0.6,v0.250.0-821-gfeb6073c8b,,feb6073c8b198a7d7d15b41292edd3cf8f7953ff,https://github.com/facebook/flow
expo-modules-autolinking@0.8.1,e6eceeff83,,e6eceeff83abbf6d6f31d15fd9c5c9e9417ef74d,https://github.com/expo/expo
@react-native-babel-preset@0.75.0,v0.75.0,v0.75.0,89cdc14c8bcccb8506cee82056dca6febb1a7281,
@vscode-spdlog@latest,v0.15.1-4-g94a4455,,94a445526edb2dda7999813d394da695a855951e,https://github.com/microsoft/node-spdlog
@aws-amplify-api-rest@3.5.13,@aws-amplify/adapter-nextjs@1.6.3-2-g936c0f79f,,936c0f79f061a14b239695f3aa2222d4fb9ac028,
@azure-msal-common@14.13.0,msal-angular-v4.0.12-13-g2a979a886,,2a979a886ff80b97e35e36fc8cd27eafdf3752ea,https://github.com/AzureAD/microsoft-authentication-library-for-js
@webassemblyjs-helper-numbers@1.13.2,v1.13.2,v1.13.2,897aeb784f042a46a00626f1d1cca96159aa5db3,https://github.com/xtuc/webassemblyjs
leveldown@6.1.0,v6.1.0,v6.1.0,496f0b1b0fb4a4b76400b03fb592bb2c53e07c1e,https://github.com/Level/leveldown
@napi-rs-canvas-linux-arm64-gnu@latest,skia-5b8860c3-4-g05627f3,,05627f34909bd82e227c18309edabe6c085020ca,
@cspell-strong-weak-map@8.19.3,v8.19.3,v8.19.3,cb6946b709da590d0c6175f9962799d18aa43e93,https://github.com/streetsidesoftware/cspell
@azure-msal-browser@3.10.0,msal-angular-v3.0.13,msal-angular-v3.0.13,8c015976765555ebf63b236373058ca0c333e7c7,https://github.com/AzureAD/microsoft-authentication-library-for-js
@serialport-parser-slip-encoder@13.0.0,v13.0.0,v13.0.0,701ffd844f0950164da4dda4dca57e94891177a9,https://github.com/serialport/node-serialport
win-ca@3.5.1,v3.5.0-23-gdcbfafa,,dcbfafa746f6924ba4445bec6aac8d61bf22225f,https://github.com/ukoloff/win-ca
@react-native-async-storage-async-storage@latest,@react-native-async-storage/async-storage@2.1.2-5-g40c36cd,,40c36cd761122fc06c991848383ce767eade0ba5,
dom-to-image-more@2.16.0,v2.16.0,v2.16.0,534c72ccd9968e38b7dccc13a5c5ef516e422b82,https://github.com/1904labs/dom-to-image-more
@webassemblyjs-wast-parser@1.7.6,v1.7.6,v1.7.6,4c7ceb48896fc23cdee62bd8f87d24c4b69c90c9,https://github.com/xtuc/webassemblyjs
@webassemblyjs-helper-numbers@1.11.6,v1.14.1-1-gaf8e766c,,af8e766c26d36c34c3b84c975d3dea96dcf22197,https://github.com/xtuc/webassemblyjs
bufferutil@4.0.7,v4.0.7,v4.0.7,b90f4d22a8a67e1609a10bb8cd01b3e7b13e5cb5,https://github.com/websockets/bufferutil
vscode-textmate@9.0.0,v9.2.0-1-gf03a6a8,,f03a6a8790af81372d0e81facae75554ec5e97ef,https://github.com/microsoft/vscode-textmate
@webassemblyjs-wasm-gen@1.12.1,v1.12.1,v1.12.1,67c75cf2da65e5588b5e81c10b0d7692d174760b,https://github.com/xtuc/webassemblyjs
@webassemblyjs-helper-buffer@1.12.1,v1.12.1,v1.12.1,67c75cf2da65e5588b5e81c10b0d7692d174760b,https://github.com/xtuc/webassemblyjs
@react-native-assets-registry@0.73.1,v0.73.1,v0.73.1,f6b7243d2ae7c8d7fe690da8f9a922df844061d3,
evp_bytestokey@1.0.3,v1.0.3,v1.0.3,5b83312539cf4d21989e99562c09ba32a65070c8,https://github.com/crypto-browserify/EVP_BytesToKey
@react-native-virtualized-lists@0.73.4,v0.73.4,v0.73.4,36a4a2450144228e8a3ccc63541428751a7e4555,
antlr4@4.8.0,4.13.2-28-g09d527fdd,,09d527fddd8dcd3733d7275cf3436a1a9e1e12db,https://github.com/antlr/antlr4
