timestamp,publisher,name,version,status,error,repo_url
2025-05-05T13:11:57.545751,ms-kubernetes-tools,kind-vscode,0.0.3,Success,,https://github.com/deislabs/kind-vscode
2025-05-05T13:11:57.135914,wraith13,bracket-lens,1.5.3,Success,,https://github.com/wraith13/bracket-lens-vscode.git
2025-05-05T13:11:58.003156,yzhang,dictionary-completion,1.3.1,Success,,https://github.com/yzhang-gh/vscode-dic-completion.git
2025-05-05T13:11:58.739547,be5invis,theme-verdandi,2.0.1,Failed,No GitHub URL found in properties,
2025-05-05T13:11:58.256974,jcanero,hoogle-vscode,0.0.7,Success,,https://github.com/caneroj1/hoogle-vscode.git
2025-05-05T13:11:58.281753,4ops,packer,0.3.0,Success,,https://github.com/4ops/vscode-language-packer.git
2025-05-05T13:11:58.407174,mellena1,eclipse-new-java-project,1.0.1,Success,,https://github.com/mellena1/vscode-eclipse-new-java-project.git
2025-05-05T13:11:58.739624,DavidWang,ini-for-vscode,0.0.4,Success,,https://github.com/davidwang88/ini-for-vscode.git
2025-05-05T13:11:59.358977,rjyoung,vscode-modern-vhdl-support,1.0.6,Success,,https://github.com/richjyoung/vscode-modern-vhdl.git
2025-05-05T13:11:58.941795,mkhl,direnv,0.17.0,Success,,https://github.com/direnv/direnv-vscode.git
2025-05-05T13:12:00.133183,sh4dow,theme-notepadplusplusremixed,1.0.3,Success,,https://github.com/s-h-a-d-o-w/NotepadPlusPlus-Remixed-Theme.git
2025-05-05T13:12:00.778689,nespinozacr,mysql-autocomplete,0.5.0,Success,,https://github.com/nespinozacr/MySQL_Autocomplete.git
2025-05-05T13:11:59.410045,Arm,cmsis-csolution,1.52.0,Success,,https://github.com/ARM-software/vscode-cmsis-csolution.git
2025-05-05T13:12:01.467376,midnightsyntax,vscode-wrap-console-log,1.7.2,Success,,https://github.com/midnightsyntax/vscode-wrap-console-log
2025-05-05T13:12:01.466706,TylerLeonhardt,vscode-inline-values-powershell,0.0.7,Success,,https://github.com/TylerLeonhardt/vscode-inline-values-powershell.git
2025-05-05T13:11:56.797038,gcazaciuc,vscode-flow-ide,1.2.0,Success,,https://github.com/gcazaciuc/vscode-flow-ide
