timestamp,publisher,name,version,status,error,repo_url
2025-05-05T12:45:16.973502,nikhilmjeby,black-box,1.0.4,Success,,https://github.com/solid-droid/Black-Box.git
2025-05-05T12:45:16.975371,sainoba,px-to-rem,1.3.1,Success,,https://github.com/sainoba/vscode-px-to-rem
2025-05-05T12:45:16.976653,idleberg,hopscotch,0.8.2,Success,,https://github.com/idleberg/vscode-hopscotch.git
2025-05-05T12:45:17.807567,vintharas,learn-vim,0.0.28,Failed,No GitHub URL found in properties,
2025-05-05T12:45:16.974166,wmanth,jar-viewer,1.2.0,Success,,https://github.com/wmanth/vscode-jar-viewer.git
2025-05-05T12:45:16.974718,alefragnani,pascal-formatter,2.9.1,Success,,https://github.com/alefragnani/vscode-pascal-formatter.git
2025-05-05T12:45:17.740020,vuetifyjs,vuetify-vscode,0.2.0,Success,,https://github.com/vuetifyjs/vuetify-vscode
2025-05-05T12:45:17.837474,moalamri,inline-fold,0.2.6,Success,,https://github.com/moalamri/vscode-inline-fold.git
2025-05-05T12:45:17.870241,tonka3000,qtvsctools,0.11.0,Success,,https://github.com/tonka3000/vscode-qt-tools.git
2025-05-05T12:45:17.807636,darkriszty,markdown-table-prettify,3.6.0,Success,,https://github.com/darkriszty/MarkdownTablePrettify-VSCodeExt.git
2025-05-05T12:45:18.879830,michelemelluso,gitignore,1.0.1,Failed,No GitHub URL found in properties,
2025-05-05T12:45:18.407713,slevesque,vscode-autohotkey,0.2.2,Success,,https://github.com/stef-levesque/vscode-autohotkey.git
2025-05-05T12:45:17.805671,adrianwilczynski,add-reference,1.0.2,Success,,https://github.com/AdrianWilczynski/.NETCoreAddReference.git
2025-05-05T12:45:18.879909,adamhartford,vscode-base64,0.1.0,Success,,https://github.com/adamhartford/vscode-base64.git
2025-05-05T12:45:19.084422,voldemortensen,rainbow-tags,0.4.1,Success,,https://gitlab.com/voldemortensen/rainbow-tags.git
2025-05-05T12:45:19.576492,adrianwilczynski,user-secrets,2.0.1,Success,,https://github.com/AdrianWilczynski/UserSecrets.git
2025-05-05T12:45:20.518098,analytic-signal,preview-pdf,1.0.0,Failed,No GitHub URL found in properties,
2025-05-05T12:45:20.518134,1YiB,nodejs-bundle,1.0.0,Success,,https://github.com/1YiB/vsc-bundle.git
2025-05-05T12:45:20.506052,atomiks,moonlight,0.11.1,Success,,https://github.com/atomiks/moonlight-vscode-theme.git
2025-05-05T12:45:21.491396,aldijav,golangwithdidi,0.0.1,Success,,https://github.com/aldijavier/golangextension
2025-05-05T12:45:22.108581,bbenoist,Doxygen,1.0.0,Success,,https://github.com/bbenoist/vscode-doxygen.git
2025-05-05T12:45:18.697264,andrzejzwierzchowski,al-code-outline,16.76.1433787,Success,,https://github.com/anzwdev/al-code-outline.git
2025-05-05T12:45:19.229164,yamajyn,commandlist,1.1.0,Success,,https://github.com/yamajyn/commandlist.git
2025-05-05T12:45:22.988689,ms-dotnettools,dotnet-maui,1.10.9,Failed,No GitHub URL found in properties,
2025-05-05T12:45:22.988732,trinm1709,dracula-theme-from-intellij,0.3.0,Success,,https://github.com/kevinvn1709/vscode-dracula-color-theme.git
2025-05-05T12:45:18.669082,kddejong,vscode-cfn-lint,0.26.5,Success,,https://github.com/awslabs/aws-cfn-lint-visual-studio-code.git
2025-05-05T12:45:22.847576,henriiik,docker-linter,0.5.0,Success,,https://github.com/henriiik/vscode-docker-linter
2025-05-05T12:45:22.988213,Chouzz,vscode-better-align,1.4.2,Success,,https://github.com/chouzz/vscode-better-align.git
2025-05-05T12:45:23.906480,discountry,react-redux-react-router-snippets,0.4.29,Success,,https://github.com/discountry/vscode-react-redux-react-router-snippets
2025-05-05T12:45:23.963179,doggy8088,netcore-extension-pack,1.10.0,Success,,https://github.com/doggy8088/netcore-extension-pack.git
2025-05-05T12:45:23.756570,paulmolluzzo,convert-css-in-js,1.1.3,Success,,https://github.com/ansumanshah/css-in-js.git
2025-05-05T12:45:23.930083,valentjn,vscode-ltex,13.1.0,Success,,https://github.com/valentjn/vscode-ltex.git
2025-05-05T12:45:24.750282,766b,go-outliner,0.1.21,Success,,https://github.com/766b/vscode-go-outliner.git
2025-05-05T12:45:24.723809,rexshi,phpdoc-comment-vscode-plugin,1.3.0,Success,,https://github.com/shishirui/phpdoc-comment-vscode-plugin
2025-05-05T12:45:21.277050,SPGoding,datapack-language-server,4.5.13,Success,,https://github.com/SpyglassMC/Spyglass.git
2025-05-05T12:45:25.248976,rebornix,prolog,0.0.4,Success,,https://github.com/rebornix/vscode-prolog.git
2025-05-05T12:45:25.944248,WallabyJs,wallaby-vscode,1.0.437,Failed,No GitHub URL found in properties,
2025-05-05T12:45:25.121705,ExodiusStudios,comment-anchors,1.10.4,Success,,https://github.com/StarlaneStudios/vscode-comment-anchors.git
2025-05-05T12:45:25.640977,jonkwheeler,styled-components-snippets,0.10.0,Success,,https://github.com/jonkwheeler/styled-components-snippets-vscode
2025-05-05T12:45:26.310017,tomphilbin,gruvbox-themes,1.0.0,Failed,No GitHub URL found in properties,
2025-05-05T12:45:25.835861,bourhaouta,tailwindshades,0.0.5,Success,,https://github.com/bourhaouta/vscode-tailwindshades.git
2025-05-05T12:45:25.722813,Tyriar,luna-paint,0.16.0,Success,,https://github.com/lunapaint/vscode-luna-paint.git
2025-05-05T12:45:26.011649,dunstontc,dark-plus-syntax,0.2.11,Success,,https://github.com/tcd/dark-plus-syntax.git
2025-05-05T12:45:25.944326,shamanu4,django-intellisense,0.0.2,Success,,https://gitlab.com/shamanu4/django-intellisense
2025-05-05T12:45:26.310089,salesforce,sfdx-code-analyzer-vscode,1.6.1,Success,,https://github.com/forcedotcom/sfdx-code-analyzer-vscode.git
2025-05-05T12:45:26.963265,walter-ribeiro,full-react-snippets,1.4.2,Success,,https://github.com/walteribeiro/full-react-snippets
2025-05-05T12:45:27.490766,amiralizadeh9480,cpp-helper,0.3.4,Success,,https://github.com/amir9480/vscode-cpp-helper.git
2025-05-05T12:45:27.499967,SilasNevstad,gpthelper,1.1.0,Success,,https://github.com/silasnevstad/GPT-Extension-VSCode.git
2025-05-05T12:45:28.323558,JScearcy,rust-doc-viewer,4.2.0,Success,,https://github.com/JScearcy/rust-doc-viewer.git
2025-05-05T12:45:28.648751,isudox,vscode-jetbrains-keybindings,0.1.9,Success,,https://github.com/isudox/vscode-jetbrains-keybindings.git
2025-05-05T12:45:29.350762,maximetinu,identical-sublime-monokai-csharp-theme-colorizer,1.2.3,Success,,https://github.com/Maximetinu/Sublime-Text-Monokai-theme-for-Visual-Studio-Code.git
2025-05-05T12:45:26.777562,NicholasHsiang,vscode-vue2-snippets,2.5.0,Success,,https://github.com/xianghongai/vscode-vue2-snippets/blob/main/README.md
2025-05-05T12:45:27.553404,hediet,debug-visualizer,2.4.0,Success,,https://github.com/hediet/vscode-debug-visualizer.git
2025-05-05T12:45:30.153005,fougas,msys2,0.10.0,Success,,https://github.com/okhlybov/vscode-msys2.git
2025-05-05T12:45:30.625226,richardwillis,vscode-gradle-extension-pack,0.0.4,Success,,https://github.com/badsyntax/vscode-gradle-extension-pack.git
2025-05-05T12:45:27.777161,Shopify,theme-check-vscode,3.8.8,Success,,https://github.com/Shopify/theme-tools.git
2025-05-05T12:45:31.549553,openai,chatgpt,0.1.1741291060,Failed,No GitHub URL found in properties,
2025-05-05T12:45:30.852419,yy0931,mplstyle,1.14.4,Success,,https://github.com/yy0931/vscode-mplstyle.git
2025-05-05T12:45:31.756423,AngularDoc,angulardoc-vscode,6.1.3,Failed,No GitHub URL found in properties,
2025-05-05T12:45:31.285026,oliversturm,fix-json,0.1.2,Success,,https://github.com/oliversturm/vscode-fix-json.git
2025-05-05T12:45:31.549591,lkytal,FlatUI,1.4.9,Success,,https://github.com/lkytal/vscode-theme-flatui.git
2025-05-05T12:45:29.186712,leodevbro,blockman,1.7.8,Success,,https://github.com/leodevbro/vscode-blockman.git
2025-05-05T12:45:31.756491,ms-vscode,js-atom-grammar,0.1.14,Success,,https://github.com/Microsoft/vscode-js-atom-grammar.git
